cpt_code,payer,expected_amount
99213,Medicare,154.18
99213,BlueCross,135.75
99213,Aetna,143.25
99213,United,141.7
99213,Cigna,157.09
99214,Medicare,227.77
99214,BlueCross,237.26
99214,Aetna,201.83
99214,United,216.56
99214,Cigna,199.31
99215,Medicare,292.56
99215,BlueCross,310.33
99215,Aetna,280.65
99215,United,291.33
99215,Cigna,319.29
93000,Medicare,85.76
93000,BlueCross,80.25
93000,Aetna,86.52
93000,United,90.26
93000,Cigna,76.61
71046,Medicare,127.34
71046,BlueCross,124.76
71046,Aetna,116.17
71046,United,111.73
71046,Cigna,130.97
80053,Medicare,91.9
80053,BlueCross,87.26
80053,Aetna,87.34
80053,United,101.6
80053,Cigna,96.97
36415,Medicare,26.54
36415,BlueCross,26.15
36415,Aetna,25.18
36415,United,27.37
36415,Cigna,24.39
90471,Medicare,45.47
90471,BlueCross,47.96
90471,Aetna,46.07
90471,United,48.26
90471,Cigna,45.7
